Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
4760,TOYOTA,COROLLA,1331,PETROL,ESTATE,Manual,5,88BHP,88,65,_E10_,1/07/92,7,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
4786,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,66KW,90,66,,1/07/04,9,STRATA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
5064,TOYOTA,COROLLA,1332,PETROL,ESTATE,Manual,5,86BHP,86,63,__E11_,1/04/97,8,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5232,TOYOTA,COROLLA,1587,PETROL,HATCHBACK,Manual,3,114BHP,114,84,AE102,1/07/92,7,SPORT,4A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5544,TOYOTA,COROLLA,1398,PETROL,ESTATE,Manual,5,97BHP,97,71,__E11_,1/02/00,8,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5618,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,5,97BHP,97,71,,1/08/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5624,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,LUNA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
5788,TOYOTA,COROLLA,1995,DIESEL,SALOON,Manual,4,90BHP,90,66,_E11_,1/09/00,9,TERRA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
5812,TOYOTA,COROLLA,1331,PETROL,ESTATE,Manual,5,75BHP,75,55,_E10_,1/09/95,7,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5828,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
5894,TOYOTA,COROLLA,1868,DIESEL,SALOON,Manual,4,69BHP,69,51,_E11_,1/02/00,8,TERRA,1WZ,Prechamber Engine,4,2,Front Wheel Drive
6000,TOYOTA,COROLLA,1995,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/08/02,9,TERRA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
6266,TOYOTA,COROLLA,1332,PETROL,ESTATE,Manual,5,86BHP,86,63,__E11_,1/04/97,8,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
6288,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
6762,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,3,90BHP,90,66,,1/07/04,9,T3,1ND-TV,Direct Injection,4,2,Front Wheel Drive
6892,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,3,110BHP,110,81,,1/01/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7042,TOYOTA,COROLLA,1975,DIESEL,SALOON,Manual,4,72BHP,72,53,_E11_,1/04/97,7,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
7466,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,9,COLOUR,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7712,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7742,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,95KW,129,95,R1_,1/04/04,1,MC,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7798,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7882,TOYOTA,COROLLA,1796,PETROL,HATCHBACK,Manual,3,192BHP,192,141,,1/01/02,9,SPORT,2ZZ-GE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
7984,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,95KW,129,95,R1_,1/04/04,1,LUNA,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
8094,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,3,90BHP,90,66,,1/07/04,9,COLLECTION,1ND-TV,Direct Injection,4,2,Front Wheel Drive
8594,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
8630,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,STRATA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
9184,TOYOTA,COROLLA,2231,DIESEL,ESTATE,Manual,5,100KW,136,100,,1/10/05,1,LUNA,2AD-FTV,Direct Injection,4,4,Front Wheel Drive
9212,TOYOTA,COROLLA,1332,PETROL,HATCHBACK,Manual,3,75BHP,75,55,,1/09/95,7,SPORTIF,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
9648,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
10020,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,129BHP,129,95,R1_,1/04/04,1,T3,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
10608,TOYOTA,COROLLA,1331,PETROL,SALOON,Automatic,4,86BHP,86,63,_E11_,1/04/97,0,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
10934,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,4,97BHP,97,71,,1/01/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
11072,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,8,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
11108,TOYOTA,COROLLA,2231,DIESEL,ESTATE,Manual,5,100KW,136,100,R1_,1/10/05,1,LUNA,2AD-FTV,Direct Injection,4,4,Front Wheel Drive
11142,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,TERRA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
11368,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,129BHP,129,95,R1_,1/04/04,1,LUNA,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
11376,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,3,90BHP,90,66,,1/07/04,9,T2,1ND-TV,Direct Injection,4,2,Front Wheel Drive
11592,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/04/04,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
12266,TOYOTA,COROLLA,1762,PETROL,HATCHBACK,Manual,3,117BHP,117,86,AE102,1/11/92,7,GXI,7A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
12702,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,8,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
12838,TOYOTA,COROLLA,1839,DIESEL,HATCHBACK,Manual,3,64BHP,64,47,_E9_,1/08/87,1,,1C,Prechamber Engine,4,2,Front Wheel Drive
12854,TOYOTA,COROLLA,1974,DIESEL,SALOON,Manual,4,72BHP,72,53,_E11_,1/04/97,7,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
12898,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,T.SPIRIT,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
13140,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
13970,TOYOTA,COROLLA,1331,PETROL,ESTATE,Manual,4,75BHP,75,55,_E10_,1/09/95,7,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
14122,TOYOTA,COROLLA,2231,DIESEL,ESTATE,Manual,5,100KW,136,100,R1_,1/10/05,1,MC,2AD-FTV,Direct Injection,4,4,Front Wheel Drive
14212,TOYOTA,COROLLA,1331,PETROL,SALOON,Automatic,4,75BHP,75,55,_E10_,1/09/95,0,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
14276,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,_E11_,1/02/00,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
14548,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,T.SPIRIT,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
14722,TOYOTA,COROLLA,1975,DIESEL,ESTATE,Manual,5,72BHP,72,53,_E10_,1/07/92,7,XL,2C,Prechamber Engine,4,2,Front Wheel Drive
14802,TOYOTA,COROLLA,1795,PETROL,HATCHBACK,Manual,3,192BHP,192,141,,1/01/02,9,,2ZZ-GE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
14806,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,1,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15148,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,9,COLLECTION,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15250,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/04/04,9,AURA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15318,TOYOTA,COROLLA,1332,PETROL,HATCHBACK,Manual,3,88BHP,88,65,,1/07/92,7,SPORTIF,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15328,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,4,86BHP,86,63,_E11_,1/04/97,0,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15636,TOYOTA,COROLLA,1332,PETROL,HATCHBACK,Manual,3,75BHP,75,55,,1/09/95,7,SE,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15742,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,9,,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
15784,TOYOTA,COROLLA VERSO,1596,PETROL,MPV,Manual,5,110BHP,110,81,,1/01/02,9,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
16466,TOYOTA,COROLLA,1995,DIESEL,ESTATE,Manual,5,90BHP,90,66,,1/01/02,8,TERRA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
16470,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,8,,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
17214,TOYOTA,COROLLA,1975,DIESEL,ESTATE,Manual,5,72BHP,72,53,__E11_,1/04/97,8,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
17774,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
